id,title,source_name,summary,instructions,ingredients,image,dishTypes
1747701,Sesame Flank Steak Salad,supersimplelowcarb.com,"Sesame Flank Steak Salad is a main course that serves 4. One serving contains <b>331 calories</b>, <b>29g of protein</b>, and <b>19g of fat</b>. For <b>$9.58 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. This recipe from spoonacular user <a href=""/profile/supersimplelowcarb"">supersimplelowcarb</a> requires juice of lime, lime zest, olive oil, and butter lettuce. It is perfect for <b>valentin day</b>. It is a good option if you're following a <b>gluten free and dairy free</b> diet. From preparation to the plate, this recipe takes around <b>30 minutes</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/rice-noodles-with-sesame-ginger-flank-steak-1370093"">Rice Noodles with Sesame-Ginger Flank Steak</a>, <a href=""https://spoonacular.com/recipes/rice-noodles-with-sesame-ginger-flank-steak-1382689"">Rice Noodles with Sesame-Ginger Flank Steak</a>, and <a href=""https://spoonacular.com/recipes/rice-noodles-with-sesame-ginger-flank-steak-36890"">Rice Noodles with Sesame-Ginger Flank Steak</a>.","<ol><li>Tenderize and cube the flank steak</li><li>Add the cubed flank steak to a mixing bowl. Coat with salt, pepper to taste and coat with 1-2 tablespoons of olive oil</li><li>Prepare the sauce by combining the coconut aminos, bone broth, sesame oil, garlic, ginger, monk fruit sweetener, pepper and lime</li><li>Heat up a large pan on medium heat and add the steak</li><li>Cook 2-3 minutes on each side until browned</li><li>Once cooked, remove the steak from the pad an set to the side </li><li>Drain the excess grease from from the pan turn the heat to medium low</li><li>Pour the sauce into the pan and bring to a simmer stirring occasionally</li><li>When the sauce is simmering, add the beef to the sauce and stir to combine</li><li>Add 2 cups of butter lettuce and 1/2 cup of shredded cabbage to a salad bowl</li><li>Add 4 ounces of flank steak on to the salad</li><li>Garnish with sesame seeds and green onion</li><li>Drizzle sauce from the pan over the salad</li><li>Serve and enjoy!</li></ol>","['1 lb flank steak', 'Salt and pepper to taste', '1-2 tbsp olive oil', '2 tbsp almond flour', '1 tbsp coconut oil', '8 cups butter lettuce', '2 cups shredded cabbage', 'Sesame seed', 'Green onion', '1/4 cup coconut aminos', '2 tbsp beef bone broth', '1/2 tsp sesame oil', '1 tsp garlic paste', '1 tsp ginger paste', '1 tbsp golden monk fruit sweetener', '1 tsp pepper', '2 tsp lime zest', 'juice of 1 lime']",https://spoonacular.com/recipeImages/1747701-556x370.jpg,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']"
650050,Lightened Up Salmon Cakes,Foodista,"Lightened Up Salmon Cakes might be a good recipe to expand your main course recipe box. For <b>$4.07 per serving</b>, this recipe <b>covers 33%</b> of your daily requirements of vitamins and minerals. One portion of this dish contains around <b>31g of protein</b>, <b>18g of fat</b>, and a total of <b>409 calories</b>. This recipe serves 4. Not a lot of people made this recipe, and 1 would say it hit the spot. It is brought to you by Foodista. A mixture of chives, cream, breadcrumbs, and a handful of other ingredients are all it takes to make this recipe so yummy. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is a good option if you're following a <b>pescatarian</b> diet. Overall, this recipe earns a <b>tremendous spoonacular score of 84%</b>. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/how-to-make-healthy-salmon-patties-salmon-cakes-paleo-gluten-free-whole30-1184285"">How to make Healthy Salmon Patties / Salmon Cakes ( Paleo, Gluten-free, Whole30)</a>, <a href=""https://spoonacular.com/recipes/slammin-southwestern-salmon-patties-or-salmon-cakes-1235219"">Slammin' Southwestern Salmon Patties or Salmon Cakes</a>, and <a href=""https://spoonacular.com/recipes/slammin-southwestern-salmon-patties-or-salmon-cakes-1201645"">Slammin' Southwestern Salmon Patties or Salmon Cakes</a>.","<ol><li>Heat 1/2 tablespoon olive oil in large pan over medium-high heat.  Add onions, celery, salt and pepper.  Cook for about 5 minutes, or until softened.</li><li>Place salmon in a medium bowl and flake with a fork.  Add egg, mustard and 1 tablespoon olive oil in a large bowl; mix well.</li><li>Add onion mixture, bread crumbs, salt, pepper, red pepper flakes and parsley, stir to combine.</li><li>Heat large non-stick pan over medium heat, mist with cooking spray.</li><li>Meanwhile shape a palm full of the mixture into a patty and place in heated pan.  Cook patties for about 3 minutes on each side, or until they are golden brown.</li><li>For the Herb Sauce, combine mayonnaise, yogurt, sour cream, garlic, lemon juice, dill, chives, salt and pepper in a small bowl and mix well.</li></ol>","['3 tablespoons chives', '1 1/2 teaspoons Dijon mustard', '2 tablespoons dill', '4 egg whites, whisked', '2 tablespoons chopped fresh parsley', '1 garlic clove, pressed, or finely chopped', '1/2 Lemon', '1/4 cup light mayonnaise', '1/4 cup low fat sour cream', '1 1/2 tablespoons olive oil', '1/2 onion, finely chopped', 'Pepper', '3/4 cup nonfat plain yogurt', 'Red pepper flakes', '2 cans boneless, skinless cooked salmon', 'Salt', 'White Pepper', '1 cup whole-wheat breadcrumbs']",https://spoonacular.com/recipeImages/650050-556x370.jpg,"['lunch', 'main course', 'main dish', 'dinner']"
658655,Roasted red peppers and tomatoes salad,Foodista,"Roasted red peppers and tomatoes salad is a hor d'oeuvre that serves 2. Watching your figure? This gluten free, dairy free, paleolithic, and lacto ovo vegetarian recipe has <b>152 calories</b>, <b>1g of protein</b>, and <b>14g of fat</b> per serving. For <b>78 cents per serving</b>, this recipe <b>covers 11%</b> of your daily requirements of vitamins and minerals. 8 people have tried and liked this recipe. It is brought to you by Foodista. Head to the store and pick up capers, coarse salt, onion, and a few other things to make it today. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 90%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/chicken-breasts-stuffed-with-asiago-cheese-tomatoes-and-roasted-red-peppers-560255"">Chicken Breasts Stuffed with Asiago Cheese, Tomatoes and Roasted Red Peppers</a>, <a href=""https://spoonacular.com/recipes/chopped-mexican-salad-with-roasted-peppers-corn-tomatoes-and-95943"">Chopped Mexican Salad With Roasted Peppers, Corn, Tomatoes, And</a>, and <a href=""https://spoonacular.com/recipes/chickpea-salad-with-roasted-red-peppers-29910"">Chickpea Salad With Roasted Red Peppers</a> for similar recipes.","Char the red bell pepper over a grill or gas flame, or on a cookie sheet under the broiler. Turn the peppers as their skin blisters and chars on all sides. Transfer to a bowl and cover.
When peppers are cool to the touch, peel off the skin with your fingers, pull off stems, then tear them open and remove and discard seeds. Cut into large pieces
Arrange 1 thickly sliced ripe tomato and the large bell peppers pieces.
Scatter with thinly sliced red onion and capers.
Drizzle with olive oil, season to taste with coarse salt and cracked black pepper and garnish with thyme.","['1 Red bell pepper, roasted', '1 ripe tomato', 'Red onion, peeled and thinly sliced', 'Capers', 'Olive oil', 'Coarse Salt', 'Cracked black pepper', 'Fresh thyme']",https://spoonacular.com/recipeImages/658655-556x370.jpg,"['side dish', 'antipasti', 'salad', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]"
1096323,Potato & Leek Soup with Roasted Beets,Foodista,"If you want to add more <b>gluten free and dairy free</b> recipes to your repertoire, Potato & Leek Soup with Roasted Beets might be a recipe you should try. This recipe serves 6. This hor d'oeuvre has <b>434 calories</b>, <b>10g of protein</b>, and <b>15g of fat</b> per serving. For <b>$2.61 per serving</b>, this recipe <b>covers 27%</b> of your daily requirements of vitamins and minerals. 1 person found this recipe to be scrumptious and satisfying. Head to the store and pick up beets, leeks, oil ), and a few other things to make it today. It is perfect for <b>Autumn</b>. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 78%</b>, which is good. Similar recipes include <a href=""https://spoonacular.com/recipes/roasted-potato-leek-soup-294202"">Roasted Potato Leek Soup</a>, <a href=""https://spoonacular.com/recipes/roasted-potato-leek-soup-with-arugula-984545"">Roasted Potato Leek Soup with Arugula</a>, and <a href=""https://spoonacular.com/recipes/bacon-potato-and-leek-soup-with-roasted-garlic-721154"">Bacon, Potato and Leek Soup with Roasted Garlic</a>.","To roast the beets: Heat oven to 425F
Wash beets, trim ends (do not peel) and wrap in foil
Place on baking dish and roast for about 90 minutes
Open, cool slightly and easily peel the skin off
For the soup: Slice leeks
Heat oil in a heavy bottomed pot and saut for about 10 minutes then add your seasonings (salt, pepper and Scarborough Fair)
Add the diced potatoes, chervil, and chicken stock
Bring to a boil, reduce heat and simmer for 40 minutes or until potatoes are fork tender
When soup is done, remove a few ladles of the potato chunks into a bowl
Pure remaining soup with an immersion blender
If you want a thicker soup, return to heat and use a cornstarch/water mixture to thicken
Return potato chunks to the pot
Ladle soup into a bowl and garnish with some of the diced roasted beets.
Enjoy.","['2 pounds of beets (roasted)', '1 pound of leeks (sliced)', '3 pounds of potatoes (peeled and diced)', 'Oil for cooking (I used bacon flavoured olive oil)', '8 cups of chicken broth', 'Salt & pepper to taste', '1 tsp. Scarborough Fair seasoning', '1/2 tsp. dried Chervil', 'Cornstarch (to thicken)']",https://spoonacular.com/recipeImages/1096323-556x370.jpg,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]"
643225,Foul Mudammas,Foodista,"The recipe Foul Mudammas can be made <b>in roughly 45 minutes</b>. Watching your figure? This gluten free, dairy free, lacto ovo vegetarian, and vegan recipe has <b>26 calories</b>, <b>1g of protein</b>, and <b>1g of fat</b> per serving. For <b>$1.04 per serving</b>, you get a side dish that serves 4. 1 person has tried and liked this recipe. This recipe from Foodista requires salt, garlic cloves, of parsley, and regular tomatoes. Taking all factors into account, this recipe <b>earns a spoonacular score of 83%</b>, which is tremendous. Similar recipes include <a href=""https://spoonacular.com/recipes/ful-mudammas-195462"">Ful Mudammas</a>, <a href=""https://spoonacular.com/recipes/spiced-fava-beans-with-tomato-onion-foul-imdamis-32358"">Spiced Fava Beans With Tomato & Onion (foul Imdamis)</a>, and <a href=""https://spoonacular.com/recipes/spiced-fava-beans-with-tomato-onion-foul-imdamis-1230467"">Spiced Fava Beans With Tomato & Onion (foul Imdamis)</a>.","Smash garlic cloves with a flat part of the knife and remove the outer layers. Chop parsley.
In a small skillet toast cumin seeds until you can smell intense aroma. Transfer to a pestle and mortar and grind.
Heat the olive oil in a large skillet or pot and add the garlic cloves and cumin. Saute one minute and add drained Fava beans. Cover with water, put a lid on and simmer for about an hour or until beans are soft.
Drain cooked beans through a sieve reserving the flavorful water. Let them cool down a bit and start shelling them. Make a small cut or tear a small opening on one end of a bean and squeeze the content back into the flavorful water. Throw away the shells.
Bring back beans to a boil and using potato masher, mash them slightly. Add parsley, lemon juice and tomatoes and simmer few more minutes until slightly reduced and thick. Stir from time to time.
At the end season with salt and pepper and serve with pita bread.","['1 Ib (16 oz, 450 g) dry Fava beans soaked overnight in water', '7 garlic cloves', 'Small bunch of parsley', '2 Juice of lemons', '3 teaspoons cumin seeds', '1/2 cup sliced cherry or regular chopped tomatoes', 'Salt, pepper']",https://spoonacular.com/recipeImages/643225-556x370.jpg,['side dish']
1096087,Crock-Pot Beef Ragu with Penne and Ricotta,Foodista,"Crock-Pot Beef Ragu with Penne and Ricotta requires around <b>6 hours and 20 minutes</b> from start to finish. This recipe makes 6 servings with <b>639 calories</b>, <b>56g of protein</b>, and <b>21g of fat</b> each. For <b>$3.67 per serving</b>, this recipe <b>covers 43%</b> of your daily requirements of vitamins and minerals. It works well as a main course. Not a lot of people made this recipe, and 1 would say it hit the spot. If you have beef round center cut, olive oil, carrots, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 81%</b>, which is excellent. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/crock-pot-beef-ragu-with-pappardelle-483718"">Crock-Pot Beef Ragu with Pappardelle</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-beef-ragu-with-penne-167102"">Slow-Cooker Beef Ragu with Penne</a>, and <a href=""https://spoonacular.com/recipes/crock-pot-chicken-ragu-482739"">Crock Pot Chicken Ragu</a>.","<ol><li>Thinly slice the carrots and mushrooms, dice the onion, mince the garlic, and chop the fresh herbs.</li><li>Season the meat with 1 teaspoon salt &amp; 2 teaspoons pepper, then braise on all sides.</li><li>Add all ingredients to a crock-pot except for the penne, ricotta, Parmesan, mushrooms, and fresh parsley. Cook on high for 5 to 5 1/2 hours.</li><li>Remove meat from the crock-pot, let it cool slightly and pull and set aside (remove any fat and discard).</li><li>Cook mushrooms in large sauce pan with 1 tablespoon of olive oil for 3 minutes a side.</li><li>Then add all the juice from the crock pot into the saucepan, remove the bay leaves and bring to a simmer. Now add uncooked pasta and cook for 10-12 minutes or until pasta is done to likeness (stir occasionally to ensure the pasta cooks evenly).</li><li>Add pulled meat to the sauce, and cook until heated through, about 2 minutes. </li><li>Sprinkle with Parmesan cheese.</li><li>Serve with dollops of ricotta cheese and chopped parsley. Enjoy!</li></ol>","['2 lb. beef round center cut, bottom roast', '1 tablespoons olive oil', '1 24-oz can diced tomatoes', '1 cup red wine', '2 carrots thinly sliced', '1 onion diced', '4 tablespoons tomato paste', '1 cup beef stock', '2 bay leaves', '4 cloves garlic, minced', '3 teaspoons salt and pepper', '8 ounces uncooked penne', '8 ounces mushrooms, cleaned and thinly sliced', '3 sprigs of fresh rosemary, finely chopped', '4-5 sprigs of fresh thyme, finely chopped', '½ cup ricotta cheese', 'Parmesan cheese', '3 tablespoons chopped parsley']",https://spoonacular.com/recipeImages/1096087-556x370.jpg,"['lunch', 'main course', 'main dish', 'dinner']"
1098288,Tuna Avocado Salad,Foodista,"Need a <b>gluten free, dairy free, whole 30, and pescatarian main course</b>? Tunan Avocado Salad could be an excellent recipe to try. This recipe makes 2 servings with <b>320 calories</b>, <b>18g of protein</b>, and <b>21g of fat</b> each. For <b>$1.84 per serving</b>, this recipe <b>covers 26%</b> of your daily requirements of vitamins and minerals. Not a lot of people made this recipe, and 1 would say it hit the spot. A mixture of avocado, pepper, tomato, and a handful of other ingredients are all it takes to make this recipe so yummy. From preparation to the plate, this recipe takes around <b>15 minutes</b>. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 82%</b>, which is excellent. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/chili-crusted-ahi-tuna-avocado-salad-with-cilantro-garlic-dressing-gf-and-fave-five-friday-healthy-tuna-1227207"">Chili Crusted Ahi Tuna & Avocado Salad with Cilantro Garlic Dressing (GF!) … and Fave Five Friday: Healthy Tuna</a>, <a href=""https://spoonacular.com/recipes/chili-crusted-ahi-tuna-avocado-salad-with-cilantro-garlic-dressing-gf-and-fave-five-friday-healthy-tuna-1362205"">Chili Crusted Ahi Tuna & Avocado Salad with Cilantro Garlic Dressing (GF!) … and Fave Five Friday: Healthy Tuna</a>, and <a href=""https://spoonacular.com/recipes/chili-crusted-ahi-tuna-avocado-salad-with-cilantro-garlic-dressing-gf-and-fave-five-friday-healthy-tuna-529639"">Chili Crusted Ahi Tuna & Avocado Salad with Cilantro Garlic Dressing (GF!) … and Fave Five Friday: Healthy Tuna</a>.","<ol><li>In a bowl, mash the avocado and the canned, drained tuna with a fork. </li><li>Add the chopped tomato, onion, and celery along with the lemon juice, mayonnaise, and salt. Mix well</li><li>Add the chopped lettuce leaves to the mixture and place the salad in refrigerator to chill.</li><li>Serve chilled with chips or crackers.</li></ol>","['1 Large Avocado, Diced', '1 cup canned tuna, Roughly Chopped', '1 Medium Tomato, Chopped', '1 Large Onion, Chopped', '1-2 tbsp Mayonnaise', '2 tbsp Lemon Juice', '1 tbsp Celery, Chopped', '¼ tsp Black Pepper', '3 lettuce leaves', 'Salt to taste']",https://spoonacular.com/recipeImages/1098288-556x370.jpg,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']"
640965,Crushed Lentil Soup- Granola Style,Foodista,"You can never have too many breakfast recipes, so give Crushed Lentil Soup- Granola Style a try. One portion of this dish contains roughly <b>10g of protein</b>, <b>43g of fat</b>, and a total of <b>830 calories</b>. For <b>$2.34 per serving</b>, this recipe <b>covers 26%</b> of your daily requirements of vitamins and minerals. This recipe serves 1. 1 person found this recipe to be yummy and satisfying. <b>Autumn</b> will be even more special with this recipe. Head to the store and pick up lemon juice, carrot, water, and a few other things to make it today. It is brought to you by Foodista. It is a good option if you're following a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> diet. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 81%</b>, which is spectacular. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/italian-style-lentil-soup-378444"">Italian-Style Lentil Soup</a>, <a href=""https://spoonacular.com/recipes/colombian-style-lentil-soup-sopa-de-lentejas-226151"">COLOMBIAN-STYLE LENTIL SOUP (SOPA DE LENTEJAS)</a>, and <a href=""https://spoonacular.com/recipes/colombian-style-lentil-soup-sopa-de-lentejas-1220231"">COLOMBIAN-STYLE LENTIL SOUP (SOPA DE LENTEJAS)</a>.","In an enamel 5 quart dutch oven (or large soup pot) drizzle olive oil and heat. Add the chopped garlic and fry until it browns and becomes very fragment. Add the chopped onion and carrots- saut until tender.
Add 6 cups of broth and red lentils. Stir, put on lid, and simmer for about 20 minutes or until the lentils are tender.
Add fresh lemon juice, 2 additional cups of broth and 1/2 cup of rice. Simmer until the rice is tender. The time will vary based on the variety of rice.
Feel free to the remaining liquid, more if necessary, until the soup is the consistency desired.
I added two additional cups of liquid after the soup was done cooking so it was too thick. In an effort to reduce sodium I purchase the lowest sodium chicken broth and use about two cups of water. If the soup seems to need additional flavor or salt I add chicken bouillon to taste.
Serve with chopped cilantro and sumac.","['3 tablespoons olive oil', '1/8 cup chopped garlic', '1 small onion chopped', '1 cup chopped carrot', '10 cups broth or water (broth can be chicken', '1/2 cup long grain rice', '1/4 cup fresh lemon juice', '1/4 teaspoon black pepper', '1/8 teaspoon red pepper flakes', 'Chopped cilantro and sumac as a garnish']",https://spoonacular.com/recipeImages/640965-556x370.jpg,"['morning meal', 'brunch', 'breakfast']"
641845,Easy Beef and Bean Chili,Foodista,"The recipe Easy Beef and Bean Chili could satisfy your American craving in roughly <b>45 minutes</b>. Watching your figure? This gluten free and dairy free recipe has <b>608 calories</b>, <b>38g of protein</b>, and <b>25g of fat</b> per serving. For <b>$2.84 per serving</b>, this recipe <b>covers 44%</b> of your daily requirements of vitamins and minerals. This recipe serves 4. It is perfect for <b>The Super Bowl</b>. Only a few people made this recipe, and 1 would say it hit the spot. It works well as a rather inexpensive main course. Head to the store and pick up tomatoes, chili powder, tomato sauce, and a few other things to make it today. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 81%</b>, which is amazing. Try <a href=""https://spoonacular.com/recipes/easy-two-bean-beef-chili-1110616"">Easy Two Bean Beef Chili</a>, <a href=""https://spoonacular.com/recipes/easy-beef-and-bean-chili-1168767"">Easy Beef and Bean Chili</a>, and <a href=""https://spoonacular.com/recipes/9th-annual-chili-contest-entry-beef-chorizo-and-bean-taco-chili-weekly-menu-1042007"">9th Annual Chili Contest: Entry – Beef, Chorizo, and Bean Taco Chili + Weekly Menu</a> for similar recipes.","<ol><li>Combine and fry beef, onion and celery lightly. </li><li>Place in a large, heavy pot. </li><li>Add the rest of the ingredients. Simmer for 2-4 hours.</li></ol>","['2 cans diced tomatoes', '2 cans kidney beans', '1 small can tomato sauce', '3 stalks of Celery', '1 1/2 tablespoons chili powder', '1 teaspoon cumin', '1 pound ground beef', '1/2 cup chopped onion', '1 tablespoon paprika', '1 pinch pepper', '1 teaspoon salt', '1 small can tomato paste', '1/2 cup water']",https://spoonacular.com/recipeImages/641845-556x370.jpg,"['lunch', 'soup', 'main course', 'main dish', 'dinner']"
658483,Roasted Alaskan Salmon with Cherries,Foodista,"Roasted Alaskan Salmon with Cherries is a <b>gluten free, dairy free, paleolithic, and primal</b> recipe with 4 servings. For <b>$3.64 per serving</b>, this recipe <b>covers 19%</b> of your daily requirements of vitamins and minerals. One portion of this dish contains approximately <b>24g of protein</b>, <b>7g of fat</b>, and a total of <b>253 calories</b>. Only a few people really liked this main course. This recipe from Foodista requires cherries, thyme, honey, and lemon juice. 1 person found this recipe to be delicious and satisfying. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 78%</b>. This score is solid. Similar recipes include <a href=""https://spoonacular.com/recipes/alaskan-salmon-chowder-413243"">Alaskan Salmon Chowder</a>, <a href=""https://spoonacular.com/recipes/barbecued-alaskan-salmon-85912"">Barbecued Alaskan Salmon</a>, and <a href=""https://spoonacular.com/recipes/alaskan-amber-salmon-marinade-87308"">Alaskan Amber Salmon Marinade</a>.","<ol><li>Preheat the oven to 350F.</li><li>In a large bowl, toss together cherries, lemon juice, honey and thyme. Arrange salmon skin-side down on a large parchment or foil-lined baking sheet, sprinkle with a pinch of sea salt and black pepper. Scatter cherry mixture over and around salmon and bake 12-15 minutes. Switch oven to broil and cook an additional 3 minutes until salmon is just cooked through and cherries are juicy and caramelized, (you want the thickest part of the fish to reach an internal temperature of 131 degrees F on an instant-read thermometer). Remove the salmon from the oven and allow to rest, uncovered, for 5 minutes.</li></ol>","['¾ pound (about 3 cups) cherries, pitted and halved', '2 teaspoons chopped fresh thyme (or 1 teaspoon dried)', '1 ½ tablespoons honey', '2 tablespoons lemon juice', '4 (4-6 oz.) wild Alaskan salmon fillets', 'Sea salt and freshly ground black pepper']",https://spoonacular.com/recipeImages/658483-556x370.jpg,"['lunch', 'main course', 'main dish', 'dinner']"
