id,sourceUrl,sourceName,title,dishTypes,summary,extendedIngredients,servings,readyInMinutes,instructions,image
795514,http://www.pinkwhen.com/spaghetti-squash-tomato-basil-meat-sauce/,Pink When,Spaghetti Squash & Tomato Basil Meat Sauce,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']","Spaghetti Squash & Tomato Basil Meat Sauce takes approximately <b>1 hour and 15 minutes</b> from beginning to end. This recipe serves 2 and costs $5.07 per serving. One portion of this dish contains around <b>56g of protein</b>, <b>29g of fat</b>, and a total of <b>669 calories</b>. This recipe from Pink When has 15 fans. If you have pepper, canned tomatoes, ground beef, and a few other ingredients on hand, you can make it. It is a good option if you're following a <b>gluten free, dairy free, paleolithic, and primal</b> diet. It works well as a main course. Overall, this recipe earns an <b>amazing spoonacular score of 94%</b>. Try <a href=""https://spoonacular.com/recipes/spaghetti-squash-tomato-basil-meat-sauce-1422837"">Spaghetti Squash & Tomato Basil Meat Sauce</a>, <a href=""https://spoonacular.com/recipes/spaghetti-squash-tomato-basil-meat-sauce-1407627"">Spaghetti Squash & Tomato Basil Meat Sauce</a>, and <a href=""https://spoonacular.com/recipes/spaghetti-squash-tomato-basil-meat-sauce-1399705"">Spaghetti Squash & Tomato Basil Meat Sauce</a> for similar recipes.","['1 tsp black pepper', '16 oz can crushed tomatoes', 'extra virgin olive oil', '1 Tbsp fresh chopped basil', '1 Tbsp fresh chopped basil', '1 tsp garlic powder (or saute and sub 1 glove fresh garlice, minced)', '1 pound lean ground beef', '1 pound lean ground beef', '1 tsp onion powder (or saute and sub 1/4 cup chopped onion)', 'salt to taste', '1 spaghetti squash']",2,75,"<ol><li><span></span>Heat the oven to 400. </li><li>Halve the squash, scoop and clean the seeds inside. </li><li>Drizzle with a tsp of extra virgin olive oil in each half, add a little salt. </li><li>Take each half and turn face down on a prepared cookie sheet and bake in the oven for 50 minutes. </li><li>Remove and allow to cool for 5-10 minutes. Take a fork and start to shred the insides.</li><li>While roasting the spaghetti squash, brown the lean ground beef. </li><li>Saute the onion and garlic if using fresh veggies. </li><li>Drain the meat sauce and then mix the onion, garlic, black pepper, and meat and place on low to medium heat. </li><li>Add the crushed tomatoes, basil, and pepper, stir. </li><li>Allow to simmer while spaghetti squash is roasting, stirring frequently.</li><li>Scoop the spaghetti squash onto a bowl, cover with meat sauce, and add a pinch of parmesan if desired. </li></ol>",https://spoonacular.com/recipeImages/795514-556x370.jpg
715538,http://www.pinkwhen.com/make-dinner-tonight/,pinkwhen.com,What to make for dinner tonight?? Bruschetta Style Pork & Pasta,"['lunch', 'main course', 'main dish', 'dinner']","What to make for dinner tonight?? Bruschetta Style Pork & Pasta takes roughly <b>35 minutes</b> from beginning to end. This recipe serves 5 and costs $1.96 per serving. This main course has <b>591 calories</b>, <b>45g of protein</b>, and <b>13g of fat</b> per serving. If you have bow tie pasta, parmigiano reggiano, recipe makers chicken bruschetta pasta, and a few other ingredients on hand, you can make it. 163 people have made this recipe and would make it again. It is brought to you by Pink When. Plenty of people really liked this Mediterranean dish. With a spoonacular <b>score of 90%</b>, this dish is outstanding. Similar recipes are <a href=""https://spoonacular.com/recipes/dinner-tonight-grilled-romesco-style-pork-209128"">Dinner Tonight: Grilled Romesco-Style Pork</a>, <a href=""https://spoonacular.com/recipes/dinner-tonight-chickpea-bruschetta-31868"">Dinner Tonight: Chickpea Bruschetta</a>, and <a href=""https://spoonacular.com/recipes/dinner-tonight-shrimp-bruschetta-from-da-zaccaria-209251"">Dinner Tonight: Shrimp Bruschetta from 'da Zaccaria</a>.","['3 cups bow tie pasta', '½ cup Parmigiano Reggiano', 'Kraft Recipe Makers Chicken Bruschetta Pasta', '1-1/2 lb. pork chops']",5,35,"wash and rinse pork chops and place into the skillet.cut them into bite sized pieces and add half of the Basil Garlic simmer sauce.boil your water and start working on cooking your bow-tie pasta.when you have finished with boiling and draining your pasta, add it to the pork along with the rest of the Basil Garlic Simmering Sauce, mixing lightly.Next you will top with the Chunky Bruschetta Finishing Sauce, cover with Parmesan, and cover. Cooking on low heat 2 to 3 minutes or until heated through.",https://spoonacular.com/recipeImages/715538-556x370.jpg
659109,https://www.foodista.com/recipe/KH5STR7N/salmon-quinoa-risotto,foodista.com,Salmon Quinoa Risotto,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']","Salmon Quinoa Risotto might be just the main course you are searching for. One serving contains <b>437 calories</b>, <b>25g of protein</b>, and <b>20g of fat</b>. This recipe serves 4. For <b>$3.83 per serving</b>, this recipe <b>covers 43%</b> of your daily requirements of vitamins and minerals. Head to the store and pick up quinoa, poached salmon, olive oil, and a few other things to make it today. It is a good option if you're following a <b>gluten free, dairy free, and pescatarian</b> diet. It is a <b>rather expensive</b> recipe for fans of Mediterranean food. 3 people found this recipe to be yummy and satisfying. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It is brought to you by Foodista. Overall, this recipe earns an <b>outstanding spoonacular score of 94%</b>. Similar recipes include <a href=""https://spoonacular.com/recipes/salmon-quinoa-risotto-1360771"">Salmon Quinoa Risotto</a>, <a href=""https://spoonacular.com/recipes/salmon-quinoa-risotto-1288579"">Salmon Quinoa Risotto</a>, and <a href=""https://spoonacular.com/recipes/quinoa-risotto-with-salmon-and-kale-15276"">Quinoa Risotto With Salmon And Kale</a>.","['1 cup Quinoa', '1 medium Onion (diced)', '8 Leaves of Kale (stems removed and cut into ribbons)', '5 Garlic Cloves (finely chopped)', '3 tablespoons Olive Oil (divided)', '10 ounces Poached Salmon (flaked)*', '32 ounces Organic Vegetable Stock', 'Salt', 'Pepper', 'Pepper']",4,45,"In a 4 quart saucepan, heat 2 tablespoons of olive oil over medium high heat.
When oil is shimmering, add diced onion.
Saute onion until transparent.  Add quinoa to onion mixture and stir, to toast quinoa, for 2 minutes.
Add 1 cup of vegetable stock to quinoa and onions.
Stir until stock is absorbed.  Once stock is absorbed, add 1 cup of stock.
Continue stirring until stock is absorbed.
Add remaining stock in 1/2 cup intervals, stirring until all stock is absorbed.
Remove from heat.
While preparing the onion quinoa mixture, heat 1 tablespoon of oil in a saute pan with chopped garlic (over medium high heat).
Once garlic is sizzling, add chopped kale to the pan.
Turn kale to coat with oil and garlic.
Turn kale mixture until fragrant (approximately 2 minutes).  Remove kale mixture from heat.
Once quinoa is complete, add kale and salmon.
Stir to combine.
Add salt and pepper to taste.",https://spoonacular.com/recipeImages/659109-556x370.jpg
644826,http://www.foodista.com/recipe/ZSNGMXBF/gluten-free-dairy-free-sugar-free-chinese-chicken-salad,foodista.com,Gluten Free Dairy Free Sugar Free Chinese Chicken Salad,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']","Gluten Free Dairy Free Sugar Free Chinese Chicken Salad is a <b>gluten free and dairy free</b> main course. This recipe serves 6 and costs $3.06 per serving. One serving contains <b>364 calories</b>, <b>31g of protein</b>, and <b>15g of fat</b>. If you have scallions, pepper, kosher salt, and a few other ingredients on hand, you can make it. This recipe from Foodista has 3 fans. Not a lot of people really liked this Chinese dish. From preparation to the plate, this recipe takes about <b>45 minutes</b>. With a spoonacular <b>score of 94%</b>, this dish is great. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/gluten-free-dairy-free-sugar-free-chinese-chicken-salad-1364955"">Gluten Free Dairy Free Sugar Free Chinese Chicken Salad</a>, <a href=""https://spoonacular.com/recipes/thousand-island-dressing-gluten-free-corn-free-dairy-free-soy-free-nut-free-gum-free-and-refined-sugar-free-512186"">Thousand Island Dressing (Gluten-Free, Corn-Free, Dairy-Free, Soy-Free, Nut-Free, Gum-Free and Refined Sugar-Free)</a>, and <a href=""https://spoonacular.com/recipes/skinny-double-chocolate-muffins-vegan-gluten-free-dairy-free-egg-free-and-refined-sugar-free-1149614"">Skinny Double Chocolate Muffins-Vegan, Gluten Free, Dairy Free, Egg Free and Refined Sugar Free</a>.","['1 tsp. (5ml) of organic apple cider vinegar', '1 teaspoon crushed black pepper', '1 1/2 tablespoons black sesame seeds', '3 carrots', '1/4 C extra virgin olive oil + 7-8 Tbsp for frying', '1/2 green cabbage', '1/2 teaspoon kosher salt', '6-8 fresh satsuma mandarins', '1/2 red cabbage', '3 chicken breasts (bone in, preferably organic) roasted and shredded', '2 bunches romaine lettuce hearts', '6 scallions', '3 tablespoons sesame oil', 'juice of 1 mandarin (cut crosswise then tablespoon into jar over a strainer)', '3 tablespoons white sesame seeds', '1 1/2 tablespoons xylitol (I use Epic Dental brand)']",6,45,"<ol><li>For the salad:</li><li>Finely slice the red, and green cabbage.</li><li>Remove ends and finely slice romaine lettuce.</li><li>Trim ends of scallions (white and green side) and finely slice.</li><li>Peel and grate carrots, or put into a mini food processor to finely chop.</li><li>Peel clementines then remove pith from slices.</li><li>Add all the ingredients into a large serving bowl.</li><li>For the dressing:</li><li>Add all the ingredients into a glass jar and shake until well blended, or whisk all the ingredients in a mixing bowl.</li><li>Pour dressing over salad, toss to combine well.</li><li>If making ahead, dress the salad just before serving.</li></ol>",https://spoonacular.com/recipeImages/644826-556x370.jpg
649411,http://www.foodista.com/recipe/JM4J3HC6/lebanese-tabouleh,Foodista,Lebanese Tabouleh,"['side dish', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","Lebanese Tabouleh requires about <b>45 minutes</b> from start to finish. Watching your figure? This dairy free, lacto ovo vegetarian, and vegan recipe has <b>213 calories</b>, <b>5g of protein</b>, and <b>15g of fat</b> per serving. This recipe serves 2 and costs $4.08 per serving. This recipe is typical of middl eastern cuisine. 3 people were glad they tried this recipe. A mixture of olive oil, flat leaf parsley, roma tomatoes, and a handful of other ingredients are all it takes to make this recipe so yummy. It works well as a hor d'oeuvre. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 94%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/tabouleh-1281293"">Tabouleh</a>, <a href=""https://spoonacular.com/recipes/tabouleh-1333033"">Tabouleh</a>, and <a href=""https://spoonacular.com/recipes/tabouleh-1215825"">Tabouleh</a> for similar recipes.","['3 tablespoons cooked bulgur wheat', '3 cups flat leaf parsley, about one bushel', '1 tablespoon fresh mint', '3 tablespoons green onions, finely chopped', '1 Juice from lemon', '2 tablespoons olive oil', '1/4 cup roma tomatoes, finely chopped']",2,45,"<ol><li>Remove stems from parsley and mint. Rinse leaves in a colander. Pat dry with paper towel.</li><li>In a food processor pulse parsley and mint until finely chopped. Transfer to a large mixing bowl.</li><li>Add green onions, tomatoes and bulgur wheat; stir to combine.</li><li>Toss with lemon juice and olive oil. Refrigerate for an hour before serving.</li><li>Serve on its own or with pita bread</li><li>Serves 2</li></ol>",https://spoonacular.com/recipeImages/649411-556x370.jpg
640117,http://www.foodista.com/recipe/T5S32FWS/corn-crusted-fish-tacos-with-jalapeno-lime-sauce-and-spicy-black-beans,foodista.com,Corn-Crusted Fish Tacos With Jalapeno-Lime Sauce and Spicy Black Beans,"['lunch', 'main course', 'main dish', 'dinner']","Forget going out to eat or ordering takeout every time you crave Mexican food. Try making Corn-Crusted Fish Tacos With Jalapeno-Lime Sauce and Spicy Black Beans at home. This recipe serves 4 and costs $4.42 per serving. Watching your figure? This gluten free and pescatarian recipe has <b>1116 calories</b>, <b>51g of protein</b>, and <b>56g of fat</b> per serving. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It works well as a pretty expensive main course. This recipe from Foodista requires black beans, cayenne pepper, limes, and monterey jack cheese. 11 person have tried and liked this recipe. Overall, this recipe earns an <b>outstanding spoonacular score of 94%</b>. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/corn-crusted-fish-tacos-with-jalapeno-lime-sauce-and-spicy-black-beans-552017"">Corn-Crusted Fish Tacos with Jalapeno-Lime Sauce and Spicy Black Beans</a>, <a href=""https://spoonacular.com/recipes/corn-crusted-fish-tacos-with-jalapeno-lime-sauce-and-spicy-blac-6996"">Corn-crusted Fish Tacos With Jalapeno-lime Sauce And Spicy Blac</a>, and <a href=""https://spoonacular.com/recipes/fish-tacos-with-jalapeno-lime-sauce-801518"">Fish Tacos with Jalapeno Lime Sauce</a>.","['2 cans black beans, drained', 'Pinch of cayenne pepper', '3/4 cup chopped cilantro', '16 corn tortillas', '16 corn tortillas', '1/2 cup cornmeal', '1/2 teaspoon cumin', '1/2 cup chopped green onions', 'hot sauce', '1 chopped jalapeño (pickled if sensitive to heat)', '2 tablespoons lime juice', '2 limes cut into wedges', '2/3 cup mayo', 'Monterey Jack cheese, shredded', '5 tablespoons olive oil', '1 1/2 cups shredded red cabbage', '1 1/2 pounds tilapia (catfish and swai work too)', '2 large tomatoes, chopped']",4,45,"<ol><li>Mix the mayo, lime juice and chopped jalapeno in a small bowl. Salt and pepper to taste, then put in the fridge.</li><li>Chop all veggies and set aside.</li><li>Add 1 tablespoon of oil to a small pan over medium-high heat. Add the green onions and allow them to saute for 1-2 minutes. Pour both cans of drained beans into the pan. Bring to a simmer and add the cumin, cayenne and  tsp. of salt. Squeeze a couple of lime wedges into the beans. Cook for 5 minutes longer. Cover and set aside. Top the beans with cheese when you are ready to serve them.</li><li>Heat a large skillet to high heat. Cut the fish into 1 x 3 inch strips. Drizzle oil on the fish, then salt and pepper both sides.</li><li>Pour the cornmeal into a pie pan. Roll the fish strips in cornmeal, shaking off the excess.</li><li>Add 2 tablespoons of oil to pan. When it is hot, cook half the fish strips 1-2 minutes per side, until opaque and flaky. The cooking time will depend on the thickness of the fish. Remove the fish from the pan and place on a paper towel-lined plate. Repeat.</li><li>Warm the tortillas in the microwave. Divide the fish between 8 tortillas. (You can double up the tortillas so they wont break!) Then top each with cabbage, tomatoes, cilantro and jalapeno-lime sauce. Serve with lime wedges and hot sauce, black beans on the side.</li></ol>",https://spoonacular.com/recipeImages/640117-556x370.jpg
1000566,https://www.pinkwhen.com/beef-tips-and-rice/,pinkwhen.com,Easy Instant Pot Beef Tips and Rice,"['lunch', 'main course', 'main dish', 'dinner']","Easy Instant Pot Beef Tips and Rice takes around <b>30 minutes</b> from beginning to end. Watching your figure? This gluten free and dairy free recipe has <b>371 calories</b>, <b>53g of protein</b>, and <b>11g of fat</b> per serving. This recipe serves 4 and costs $2.2 per serving. 25 people have made this recipe and would make it again. Head to the store and pick up dale's seasoning sauce, onion, olive oil, and a few other things to make it today. It works well as a main course. It is brought to you by Pink When. Overall, this recipe earns a <b>super spoonacular score of 93%</b>. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/instant-pot-beef-tips-1143238"">Instant Pot Beef Tips</a>, <a href=""https://spoonacular.com/recipes/instant-pot-beef-tips-1536157"">Instant Pot Beef Tips</a>, and <a href=""https://spoonacular.com/recipes/instant-pot-red-wine-beef-tips-974803"">Instant Pot Red Wine Beef Tips</a>.","['2 pounds of sirloin beef tips', '1 large can (or 2 small cans) cream of mushroom soup', '1 tbsp garlic powder', ""1/3 cup of Dale's Seasoning Sauce (or 1/3 cup of Worcestershire and 1 tsp black pepper)"", '1 tsp olive oil', '½ medium onion finely chopped', '½ cup water']",4,30,"Set Instant Pot to the saute setting. Once warm, add olive oil, beef tips, and onion. Stir and saut for 5 minutes or until meat starts to brown.
Add water, Dales, and cream of mushroom soup, and garlic powder. Stir to mix well, and then cover with lid.
Cook on Manual Setting on High Pressure for 25 minutes. It will take a few minutes to come to pressure.
Once done, allow to naturally release for 20 minutes.
Serve over rice (or sub noodles or mashed potatoes) and serve with french bread to sop up the gravy.",https://spoonacular.com/recipeImages/1000566-556x370.jpg
664786,https://www.foodista.com/recipe/JJ7SSGCX/venison-stew,foodista.com,Venison Stew,"['soup', 'lunch', 'main course', 'main dish', 'dinner']","Venison Stew is a <b>dairy free</b> main course. This recipe serves 7. One serving contains <b>316 calories</b>, <b>32g of protein</b>, and <b>7g of fat</b>. For <b>$2.02 per serving</b>, this recipe <b>covers 30%</b> of your daily requirements of vitamins and minerals. It can be enjoyed any time, but it is especially good for <b>Autumn</b>. 3 people found this recipe to be tasty and satisfying. Head to the store and pick up venison stew meat, baby carrots, bell pepper, and a few other things to make it today. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 86%</b>. This score is tremendous. Similar recipes include <a href=""https://spoonacular.com/recipes/venison-bourguignon-venison-stew-147886"">Venison Bourguignon (Venison Stew)</a>, <a href=""https://spoonacular.com/recipes/venison-stew-629599"">Venison Stew</a>, and <a href=""https://spoonacular.com/recipes/venison-stew-404173"">Venison Stew</a>.","['2 pounds venison stew meat, cut in cubes', 'Spices: onion salt, 8 cups water 4 pieces large potatoes 1 piece large onion 4 pieces carrots or baby carrots 4 stalks celery 1 can mushrooms 1 piece green pepper 1 cup flour and 3 tbsp 2 tablespoons beef bouillon', '8 cups water', '4 pieces large potatoes', '1 piece large onion', '4 pieces carrots or baby carrots', '4 stalks celery', '1 can mushrooms', '1 piece green pepper', '1 cup flour and 3 tbsp', '2 tablespoons beef bouillon']",7,45,Cut all ingredients into 1 inch pieces. Dredge venison with flour and spices. Brown venison in hot vegetable oil. Boil and simmer venison 2 hours with beef bouillon and water. Add remaining ingredients and simmer for 1/2 hour. Mix 3 tablespoons flour and 1 cup cold water and add to stew to thicken.,https://spoonacular.com/recipeImages/664786-556x370.jpg
647634,https://www.foodista.com/recipe/8DBRLNSF/hummus-with-roasted-orange-peppers,Foodista,Hummus with roasted orange peppers,"['antipasti', 'condiment', 'starter', 'snack', 'appetizer', 'dip', 'antipasto', ""hor d'oeuvre"", 'spread']","Hummus with roasted orange peppers is a hor d'oeuvre that serves 2. One serving contains <b>372 calories</b>, <b>12g of protein</b>, and <b>20g of fat</b>. For <b>$1.67 per serving</b>, this recipe <b>covers 27%</b> of your daily requirements of vitamins and minerals. A mixture of sugar, salt, paprika / chilli powder, and a handful of other ingredients are all it takes to make this recipe so delicious. 2 people have tried and liked this recipe. From preparation to the plate, this recipe takes around <b>45 minutes</b>. It is brought to you by Foodista. This recipe is typical of middl eastern cuisine. It is a good option if you're following a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> diet. Taking all factors into account, this recipe <b>earns a spoonacular score of 90%</b>, which is amazing. Similar recipes are <a href=""https://spoonacular.com/recipes/hummus-with-roasted-orange-peppers-1409189"">Hummus with roasted orange peppers</a>, <a href=""https://spoonacular.com/recipes/hummus-with-roasted-bell-peppers-1403909"">Hummus with Roasted Bell Peppers</a>, and <a href=""https://spoonacular.com/recipes/hummus-with-roasted-bell-peppers-898392"">Hummus with Roasted Bell Peppers</a>.","['200 g boiled chickpeas. Can also use canned chickpeas', '1 cup orange bell peppers – roughly chopped', '2 tsp cooking oil / olive oil – for tempering bell peppers', '2 tsp cooking oil / olive oil – for tempering bell peppers', '2 tablespoons Olive oil', 'Salt to taste', 'Pepper to taste', 'Pepper to taste', '2 cloves garlic (optional) – roughly chopped', '2 tsp roasted sesame seeds or 1 tablespoon tahini paste', '1/2 tsp sugar', '1 tsp red paprika / red chilli powder', '1 tablespoon lemon juice', '1 tsp white vinegar']",2,45,Find the directions for preparation here - http://divinespicebox.com/2014/06/08/hummus-with-roasted-orange-peppers/,https://spoonacular.com/recipeImages/647634-556x370.jpg
657719,https://www.foodista.com/recipe/684WRQ6L/radish-snap-pea-quinoa-salad,Foodista,Radish & Snap Pea Quinoa Salad,"['side dish', 'antipasti', 'salad', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","Radish & Snap Pea Quinoa Salad is a <b>gluten free and lacto ovo vegetarian</b> hor d'oeuvre. For <b>$1.68 per serving</b>, this recipe <b>covers 23%</b> of your daily requirements of vitamins and minerals. One serving contains <b>262 calories</b>, <b>11g of protein</b>, and <b>7g of fat</b>. This recipe serves 4. If you have juice of lemon, flat leaf parsley, snap peas, and a few other ingredients on hand, you can make it. 2 people have tried and liked this recipe. It is brought to you by Foodista. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 92%</b>, which is spectacular. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/sugar-snap-pea-and-radish-salad-18285"">Sugar Snap Pean And Radish Salad</a>, <a href=""https://spoonacular.com/recipes/radish-and-sugar-snap-pea-salad-18551"">Radish And Sugar Snap Pea Salad</a>, and <a href=""https://spoonacular.com/recipes/snap-pea-salad-with-radish-lime-36681"">Snap Pea Salad With Radish & Lime</a>.","['1 cup quinoa, rinsed', '2 cups water', '1 pint snap peas, cut in half (about 2 cups total)', '7 or 8 medium radishes, sliced', 'large handful of flat leaf parsley, minced', '1/4 cup plain yogurt (cultured coconut milk is my favorite option, but any plain yogurt will work)', '2 tbsp tahini', 'juice of 1/2 a lemon', 'sea salt to taste', 'water as needed']",4,45,"Make the quinoa: combine the quinoa and water in a sauce pan and bring to a boil.  Reduce the heat to a simmer (medium-low), stir the quinoa, then cover it and cook for 10 to 15 minutes until all of the water has been absorbed.  Remove it from the heat, let it sit for 5 minutes, then fluff it up with a fork.  Cool the quinoa a bit before making the salad.  The quinoa can be made several days in advance and kept in the fridge if needed before using.
Make the dressing: Combine the yogurt, tahini, lemon juice, and a pinch of sea salt in a bowl and whisk until smooth.  Thin the dressing out with a bit of water if it is too thick.  Set aside.
Make the salad:  Combine the quinoa, snap peas, radishes, and parsley in a bowl.  Pour over about half of the dressing, then toss to combine.  Taste the salad and add more dressing or sea salt if desired.  Enjoy at room temperature or chilled.  Makes 3 to 4 main dish servings or 6 to 8 side servings.",https://spoonacular.com/recipeImages/657719-556x370.jpg
